batch size,context size,SM count,milliseconds
1,8,8,0.021644799783825875
1,8,16,0.021024000272154807
1,8,32,0.01852159984409809
1,8,48,0.01844480000436306
1,8,64,0.018848000466823576
1,8,96,0.01854719966650009
1,8,128,0.019577599689364435
1,8,132,0.018764799833297728
1,1024,8,0.046054400503635406
1,1024,16,0.03282560035586357
1,1024,32,0.028019199892878533
1,1024,48,0.02688639983534813
1,1024,64,0.02494719997048378
1,1024,96,0.02526719979941845
1,1024,128,0.027212799713015556
1,1024,132,0.024537599459290505
1,2048,8,0.06355200037360191
1,2048,16,0.044166399538517
1,2048,32,0.03477759957313538
1,2048,48,0.034054399281740186
1,2048,64,0.0290303997695446
1,2048,96,0.02889599949121475
1,2048,128,0.02619520016014576
1,2048,132,0.026214399933815004
1,4096,8,0.10676479935646058
1,4096,16,0.066771200299263
1,4096,32,0.047936000674962995
1,4096,48,0.04246399998664856
1,4096,64,0.03814399987459183
1,4096,96,0.03717119917273522
1,4096,128,0.032556799799203874
1,4096,132,0.0322560004889965
1,8192,8,0.1684031993150711
1,8192,16,0.1003711998462677
1,8192,32,0.062400000542402266
1,8192,48,0.05294720008969307
1,8192,64,0.047494400292634964
1,8192,96,0.04391679987311363
1,8192,128,0.036095999926328656
1,8192,132,0.036575999855995175
1,16384,8,0.27757439613342283
1,16384,16,0.1561344027519226
1,16384,32,0.09547519981861115
1,16384,48,0.0802047997713089
1,16384,64,0.06445440053939819
1,16384,96,0.06086400076746941
1,16384,128,0.05260159969329834
1,16384,132,0.052160000801086424
1,32768,8,0.48814719915390015
1,32768,16,0.2638464033603668
1,32768,32,0.1578304022550583
1,32768,48,0.11914879977703094
1,32768,64,0.0961536005139351
1,32768,96,0.09493760019540787
1,32768,128,0.07199999988079071
1,32768,132,0.07197439968585968
2,8,8,0.01934720017015934
2,8,16,0.01916800029575825
2,8,32,0.018777599930763243
2,8,48,0.019180800393223764
2,8,64,0.018854400143027306
2,8,96,0.019174399971961974
2,8,128,0.019340799748897554
2,8,132,0.018809599801898003
2,1024,8,0.06071039959788323
2,1024,16,0.04203519970178604
2,1024,32,0.03246720060706139
2,1024,48,0.03128959983587265
2,1024,64,0.02680319994688034
2,1024,96,0.025945599377155303
2,1024,128,0.0247615996748209
2,1024,132,0.02465919964015484
2,2048,8,0.09994239956140519
2,2048,16,0.06204799935221672
2,2048,32,0.04387200027704239
2,2048,48,0.04069120064377785
2,2048,64,0.0347008004784584
2,2048,96,0.03294079974293709
2,2048,128,0.028351999819278717
2,2048,132,0.028422399982810022
2,4096,8,0.16194559931755065
2,4096,16,0.09189760088920593
2,4096,32,0.057248000800609586
2,4096,48,0.04871039986610413
2,4096,64,0.04192640036344528
2,4096,96,0.0402368001639843
2,4096,128,0.03187839984893799
2,4096,132,0.03123200051486492
2,8192,8,0.2559552013874054
2,8192,16,0.14249599874019622
2,8192,32,0.08567039966583252
2,8192,48,0.07131519913673401
2,8192,64,0.057049600034952165
2,8192,96,0.055807999521493915
2,8192,128,0.047699200361967085
2,8192,132,0.04728959947824478
2,16384,8,0.45791359543800353
2,16384,16,0.24931839406490325
2,16384,32,0.1473151981830597
