matrix shape,num tokens,SM count,milliseconds
4096 x 6144,1,8,0.11882240027189254
4096 x 6144,1,16,0.08604159951210022
4096 x 6144,1,32,0.06085119992494583
4096 x 6144,1,48,0.04748800098896026
4096 x 6144,1,64,0.0400576002895832
4096 x 6144,1,96,0.037535999715328214
4096 x 6144,1,128,0.033318398892879485
4096 x 6144,1,132,0.03435520008206368
4096 x 6144,2,8,cublas error
4096 x 6144,2,16,0.09063040018081665
4096 x 6144,2,32,0.08974080085754395
4096 x 6144,2,48,0.0575872004032135
4096 x 6144,2,64,0.047411199659109116
4096 x 6144,2,96,0.04195199981331825
4096 x 6144,2,128,0.0336896002292633
4096 x 6144,2,132,0.03336320072412491
4096 x 6144,4,8,cublas error
4096 x 6144,4,16,0.09004160016775131
4096 x 6144,4,32,0.09023999869823456
4096 x 6144,4,48,0.0573695994913578
4096 x 6144,4,64,0.04768639951944351
4096 x 6144,4,96,0.04169600009918213
4096 x 6144,4,128,0.03351679965853691
4096 x 6144,4,132,0.033504000306129454
4096 x 6144,8,8,cublas error
4096 x 6144,8,16,0.08968320190906524
4096 x 6144,8,32,0.09085440188646317
4096 x 6144,8,48,0.05742079988121986
4096 x 6144,8,64,0.04722559973597527
4096 x 6144,8,96,0.04234880059957504
4096 x 6144,8,128,0.036095999926328656
4096 x 6144,8,132,0.036352000385522845
4096 x 6144,16,8,cublas error
4096 x 6144,16,16,0.08966400027275086
4096 x 6144,16,32,0.0902463972568512
4096 x 6144,16,48,0.057542399317026136
4096 x 6144,16,64,0.04737280011177063
4096 x 6144,16,96,0.041759999841451644
4096 x 6144,16,128,0.036691199988126755
4096 x 6144,16,132,0.03452160060405731
4096 x 6144,32,8,0.12007680088281632
4096 x 6144,32,16,0.08613760024309158
4096 x 6144,32,32,0.06242559999227524
4096 x 6144,32,48,0.04736000001430511
4096 x 6144,32,64,0.040230400115251544
4096 x 6144,32,96,0.03848959878087044
4096 x 6144,32,128,0.034547200053930284
4096 x 6144,32,132,0.03397120088338852
4096 x 6144,64,8,0.13706879913806916
4096 x 6144,64,16,0.08985600024461746
4096 x 6144,64,32,0.05767039954662323
4096 x 6144,64,48,0.04772479981184006
4096 x 6144,64,64,0.03956479951739311
4096 x 6144,64,96,0.03991039991378784
4096 x 6144,64,128,0.03454079926013946
4096 x 6144,64,132,0.034246399998664856
4096 x 6144,128,8,cublas error
4096 x 6144,128,16,0.1069823995232582
4096 x 6144,128,32,0.10685439854860306
4096 x 6144,128,48,0.07049599885940552
4096 x 6144,128,64,0.058150400221347806
4096 x 6144,128,96,0.046649599075317384
4096 x 6144,128,128,0.03563520014286041
4096 x 6144,128,132,0.03506560027599335
4096 x 6144,256,8,0.2807039976119995
4096 x 6144,256,16,0.15263360142707824
4096 x 6144,256,32,0.10469119995832443
4096 x 6144,256,48,0.08217599838972092
4096 x 6144,256,64,0.06142720058560371
4096 x 6144,256,96,0.06186879947781563
4096 x 6144,256,128,0.04030080065131188
4096 x 6144,256,132,0.04036480039358139
4096 x 6144,512,8,cublas error
4096 x 6144,512,16,0.2655935943126678
4096 x 6144,512,32,0.2636032044887543
4096 x 6144,512,48,0.14268159866333008
4096 x 6144,512,64,0.10206079930067062
4096 x 6144,512,96,0.08008959889411926
4096 x 6144,512,128,0.05784959942102432
4096 x 6144,512,132,0.05794560089707375
4096 x 6144,1024,8,0.9421183943748475
4096 x 6144,1024,16,0.5082623958587646
4096 x 6144,1024,32,0.32861440181732177
4096 x 6144,1024,48,0.2114304006099701
4096 x 6144,1024,64,0.17716480195522308
4096 x 6144,1024,96,0.12264320105314255
4096 x 6144,1024,128,0.11047039926052094
4096 x 6144,1024,132,0.10343040078878403
4096 x 6144,2048,8,cublas error
4096 x 6144,2048,16,0.9261824011802673
4096 x 6144,2048,32,0.9191424012184143
4096 x 6144,2048,48,0.4879360020160675
4096 x 6144,2048,64,0.3392319977283478
4096 x 6144,2048,96,0.23048319816589355
4096 x 6144,2048,128,0.15951359868049622
4096 x 6144,2048,132,0.15998719930648803
4096 x 6144,4096,8,3.53919358253479
4096 x 6144,4096,16,1.790022373199463
4096 x 6144,4096,32,1.1866048097610473
4096 x 6144,4096,48,0.7281919956207276
4096 x 6144,4096,64,0.5505279898643494
4096 x 6144,4096,96,0.3712128043174744
4096 x 6144,4096,128,0.28089599609375
4096 x 6144,4096,132,0.28030080199241636
4096 x 6144,8192,8,7.007667160034179
4096 x 6144,8192,16,3.6126015186309814
4096 x 6144,8192,32,2.378092813491821
4096 x 6144,8192,48,1.4379008293151856
4096 x 6144,8192,64,1.05665283203125
4096 x 6144,8192,96,0.7022208094596862
4096 x 6144,8192,128,0.5490879893302918
4096 x 6144,8192,132,0.5502207994461059
4096 x 6144,16384,8,cublas error
4096 x 6144,16384,16,7.249363136291504
4096 x 6144,16384,32,7.0445631980896
4096 x 6144,16384,48,3.4989760398864744
4096 x 6144,16384,64,2.3466240406036376
4096 x 6144,16384,96,1.4312191963195802
4096 x 6144,16384,128,1.0880959987640382
4096 x 6144,16384,132,1.0891327857971191
4096 x 6144,32768,8,cublas error
4096 x 6144,32768,16,14.267590522766113
4096 x 6144,32768,32,13.738355255126953
4096 x 6144,32768,48,6.784755229949951
4096 x 6144,32768,64,4.553734397888183
4096 x 6144,32768,96,2.7909695625305178
