input size,SM count,milliseconds
8,8,0.014860800094902515
8,16,0.013689599931240082
8,32,0.013228800147771835
8,48,0.017363199964165688
8,64,0.017055999860167502
8,96,0.016889600083231926
8,128,0.01717120036482811
8,132,0.01884160004556179
1024,8,0.31187199950218203
1024,16,0.17383040189743043
1024,32,0.1054976001381874
1024,48,0.08148479908704757
1024,64,0.0728319987654686
1024,96,0.05745920017361641
1024,128,0.051910400390625
1024,132,0.05289600044488907
2048,8,0.6042303919792176
2048,16,0.32190080285072326
2048,32,0.18434560000896455
2048,48,0.13628800511360167
2048,64,0.12079360038042068
2048,96,0.08321920037269592
2048,128,0.07809920012950897
2048,132,0.07728639990091324
4096,8,1.1721983909606934
4096,16,0.611788809299469
4096,32,0.33779199719429015
4096,48,0.2501311957836151
4096,64,0.21443839967250825
4096,96,0.13835519850254058
4096,128,0.13082239925861358
4096,132,0.12968960106372834
8192,8,2.319974422454834
8192,16,1.204806399345398
8192,32,0.668281614780426
8192,48,0.47722880244255067
8192,64,0.4153919994831085
8192,96,0.25845119953155515
8192,128,0.24597760140895844
8192,132,0.24397439658641815
16384,8,4.645689678192139
16384,16,2.405299186706543
16384,32,1.331327986717224
16384,48,0.9453119993209839
16384,64,0.8534016013145447
16384,96,0.5072639942169189
16384,128,0.48006399869918825
16384,132,0.476281601190567
32768,8,9.34766082763672
32768,16,4.822444725036621
32768,32,2.672063970565796
32768,48,1.8883072137832642
32768,64,1.7443072080612183
32768,96,0.9991615772247314
32768,128,0.9548416018486023
32768,132,0.9461696028709412
