batch size,context size,SM count,milliseconds
1,8,8,0.1572736009955406
1,8,16,0.13278720229864122
1,8,32,0.1084864005446434
1,8,48,0.1040000006556511
1,8,64,0.10227200090885162
1,8,96,0.10949119925498962
1,8,128,0.10248960107564926
1,8,132,0.10602239966392517
1,1024,8,0.15078399777412416
1,1024,16,0.11711999922990798
1,1024,32,0.11740800142288207
1,1024,48,0.11068159937858582
1,1024,64,0.11403519958257675
1,1024,96,0.11266560107469559
1,1024,128,0.11304959952831269
1,1024,132,0.10977279841899872
1,2048,8,0.18579840064048767
1,2048,16,0.13164800107479097
1,2048,32,0.10975360125303268
1,2048,48,0.11306879818439483
1,2048,64,0.11148159801959992
1,2048,96,0.11265920102596283
1,2048,128,0.11390720158815384
1,2048,132,0.11134079992771148
1,4096,8,0.30050560235977175
1,4096,16,0.18915200233459473
1,4096,32,0.13448960185050965
1,4096,48,0.11729919910430908
1,4096,64,0.11566720008850098
1,4096,96,0.11891199946403504
1,4096,128,0.11498239934444428
1,4096,132,0.12120959907770157
1,8192,8,0.5281024098396301
1,8192,16,0.3082688093185425
1,8192,32,0.19313279986381532
1,8192,48,0.16490880250930787
1,8192,64,0.15965440273284912
1,8192,96,0.1610240012407303
1,8192,128,0.16158079504966735
1,8192,132,0.1614463984966278
1,16384,8,0.9883583903312683
1,16384,16,0.5410752058029175
1,16384,32,0.3087808072566986
1,16384,48,0.25342720448970796
1,16384,64,0.2500479996204376
1,16384,96,0.2540095955133438
1,16384,128,0.2529535949230194
1,16384,132,0.25329280495643614
2,8,8,0.08148480206727982
2,8,16,0.07192320078611374
2,8,32,0.066668801009655
2,8,48,0.0692671999335289
2,8,64,0.0665344014763832
2,8,96,0.06783360093832017
2,8,128,0.06659200042486191
2,8,132,0.06511999890208245
2,1024,8,0.16463359892368318
2,1024,16,0.10654080063104629
2,1024,32,0.07745919972658158
2,1024,48,0.07299839854240417
2,1024,64,0.0667263999581337
2,1024,96,0.06743040084838867
2,1024,128,0.066457599401474
2,1024,132,0.06929919868707657
2,2048,8,0.28183680176734927
2,2048,16,0.16500480175018312
2,2048,32,0.10753920078277587
2,2048,48,0.09265919923782348
2,2048,64,0.08847359865903855
2,2048,96,0.08851199746131896
2,2048,128,0.08785919994115829
2,2048,132,0.08749440014362335
2,4096,8,0.5226431965827942
2,4096,16,0.2874751925468445
2,4096,32,0.1682432025671005
2,4096,48,0.14126719832420348
2,4096,64,0.1322623997926712
2,4096,96,0.13215360045433044
2,4096,128,0.13290239870548248
2,4096,132,0.13141120076179505
2,8192,8,0.9992704033851624
2,8192,16,0.5324288010597229
2,8192,32,0.28906879425048826
2,8192,48,0.23431680202484131
2,8192,64,0.22022400200366973
2,8192,96,0.2229695975780487
2,8192,128,0.2211903989315033
2,8192,132,0.2222335994243622
2,16384,8,1.9595135927200318
2,16384,16,1.0188736200332642
2,16384,32,0.5351935982704162
2,16384,48,0.4211712062358856
2,16384,64,0.3936832010746002
2,16384,96,0.39791999459266664
2,16384,128,0.3987712025642395
2,16384,132,0.3995263993740082
4,8,8,0.06195839941501617
4,8,16,0.06362240090966224
4,8,32,0.06273279935121537
4,8,48,0.06382720023393632
4,8,64,0.06308479979634285
4,8,96,0.06288000047206879
